trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",35,0,-160.97081957621697,"{0: 23, 1: 1, 2: 8, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9801}",20,0,-109.45219689819854,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9702989999999999}",25,0,-183.1922447315121,"{0: 11, 1: 4, 2: 6, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.96059601}",35,8,-202.73390966592808,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 4}",1
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",20,0,-118.05729945805672,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9414801494009999}",25,2,-101.77656311600265,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",20,12,-22.258627568681963,"{0: 4, 1: 2, 2: 2, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.92274469442792}",20,0,-43.096290741640566,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9135172474836407}",30,0,-158.4150833213399,"{0: 16, 1: 5, 2: 5, 3: 3, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9043820750088043}",25,0,-45.08784789034505,"{0: 17, 1: 5, 2: 2, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.8953382542587163}",30,19,-67.38304490296588,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.8863848717161291}",20,4,-51.57257829059158,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",20,0,-103.04587428632226,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.8687458127689781}",20,0,-136.22245607432336,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.8600583546412883}",30,3,-96.72882833126613,"{0: 15, 1: 5, 2: 5, 3: 2, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.8514577710948754}",30,0,-109.86813405655298,"{0: 22, 1: 1, 2: 3, 3: 3, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.8429431933839266}",20,0,-72.29237151022485,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.8345137614500874}",20,0,-94.65911241820727,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.8261686238355865}",25,0,-185.22879137242793,"{0: 15, 1: 1, 2: 4, 3: 2, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.8179069375972307}",25,0,-160.0791362046509,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.8097278682212583}",25,0,-169.59218084496422,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
22,False,"{'a': 0.5, 'e': 0.8016305895390458}",20,0,-78.67927234905228,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.7936142836436553}",25,0,-93.37935071903505,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.7856781408072188}",20,13,-6.837877603899681,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.7778213593991465}",35,0,-129.99585877583596,"{0: 25, 1: 4, 2: 0, 3: 5, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.7700431458051551}",20,7,-49.39175070649185,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 1}",1
27,False,"{'a': 0.5, 'e': 0.7623427143471035}",25,0,-108.85678189239648,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.7547192872036325}",20,13,7.529605076618534,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.7471720943315961}",30,0,-48.458334230800325,"{0: 25, 1: 1, 2: 2, 3: 1, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.7397003733882802}",20,0,-25.33204544980373,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.7323033696543974}",20,5,-81.9661595719132,"{0: 9, 1: 1, 2: 3, 3: 1, 4: 1}",1
32,False,"{'a': 0.5, 'e': 0.7249803359578534}",25,11,-6.8287218354024315,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.7177305325982748}",30,0,-66.20663699962553,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 2}",1
34,False,"{'a': 0.5, 'e': 0.7105532272722921}",20,0,-37.4298803508237,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.7034476949995692}",25,0,-136.22236270921653,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 3}",0
36,False,"{'a': 0.5, 'e': 0.6964132180495735}",25,0,-124.59030461719749,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
37,False,"{'a': 0.5, 'e': 0.6894490858690777}",20,6,-55.16245066396002,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 1}",1
38,False,"{'a': 0.5, 'e': 0.682554595010387}",30,0,-107.88618398881937,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.6757290490602831}",20,6,-44.268598843545824,"{0: 8, 1: 0, 2: 6, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.6689717585696803}",25,8,-79.93618214180376,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 2}",1
41,False,"{'a': 0.5, 'e': 0.6622820409839835}",20,0,-38.26680668454911,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
42,False,"{'a': 0.5, 'e': 0.6556592205741436}",25,0,-91.61838051989172,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.6491026283684022}",20,0,-112.0225496098637,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.6426116020847181}",20,0,-134.5746290596582,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
45,False,"{'a': 0.5, 'e': 0.6361854860638709}",20,0,-72.68442683597749,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.6298236312032323}",20,8,-57.33912513450331,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 1}",1
47,False,"{'a': 0.5, 'e': 0.6235253948912}",20,0,-91.669237810132,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.617290140942288}",25,0,-103.6536616934842,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
49,False,"{'a': 0.5, 'e': 0.6111172395328651}",20,8,-11.854378687629133,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.6050060671375365}",25,10,6.634848163516691,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.5989560064661611}",30,12,-36.150622900746654,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
52,False,"{'a': 0.5, 'e': 0.5929664464014994}",35,21,-1.7605212965724382,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.5870367819374844}",20,0,-48.662381505471835,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
54,False,"{'a': 0.5, 'e': 0.5811664141181095}",20,0,-57.42632809464884,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
