trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,-100,-529.0560349848031,"{0: 80, 1: 11, 2: 21, 3: 7, 4: 6}",0
2,False,"{'a': 0.5, 'e': 1.0}",35,-100,-564.4448521413854,"{0: 87, 1: 14, 2: 23, 3: 3, 4: 8}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,19,-83.10270798002611,"{0: 6, 1: 0, 2: 3, 3: 1, 4: 1}",1
4,False,"{'a': 0.5, 'e': 1.0}",20,-76,-392.15663796647874,"{0: 58, 1: 10, 2: 22, 3: 2, 4: 4}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,11,-48.013221612005154,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 1.0}",30,-100,-719.1626270509014,"{0: 74, 1: 17, 2: 22, 3: 8, 4: 9}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,-100,-661.9783536390859,"{0: 68, 1: 12, 2: 28, 3: 3, 4: 9}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,-100,-573.1215654130435,"{0: 77, 1: 14, 2: 23, 3: 3, 4: 8}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,-100,-541.5548449784245,"{0: 73, 1: 9, 2: 27, 3: 6, 4: 5}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,-75,-437.8993092573154,"{0: 59, 1: 10, 2: 17, 3: 3, 4: 6}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,-2,-115.27853064905467,"{0: 11, 1: 3, 2: 6, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,-100,-788.1276670325468,"{0: 66, 1: 18, 2: 23, 3: 8, 4: 10}",0
13,False,"{'a': 0.5, 'e': 1.0}",35,-100,-726.2267615877735,"{0: 79, 1: 16, 2: 23, 3: 8, 4: 9}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,-100,-525.8060491165709,"{0: 76, 1: 13, 2: 21, 3: 2, 4: 8}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,-46,-384.55470174430087,"{0: 43, 1: 8, 2: 11, 3: 3, 4: 6}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-49.48821634227235,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 1.0}",25,-100,-493.9410365143433,"{0: 77, 1: 16, 2: 22, 3: 5, 4: 5}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,-27,-390.9947598418492,"{0: 31, 1: 7, 2: 10, 3: 3, 4: 6}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,-100,-614.1044727054544,"{0: 66, 1: 24, 2: 23, 3: 6, 4: 6}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,-6,-136.4532568883057,"{0: 10, 1: 4, 2: 11, 3: 1, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,-100,-577.7277494150277,"{0: 72, 1: 14, 2: 30, 3: 3, 4: 6}",0
2,True,"{'a': 0.5, 'e': 1.0}",35,20,-15.966344328567509,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 0}",1
3,True,"{'a': 0.5, 'e': 1.0}",20,1,-87.65161193927594,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 1}",1
4,True,"{'a': 0.5, 'e': 1.0}",30,-100,-444.089941015086,"{0: 83, 1: 16, 2: 23, 3: 3, 4: 5}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,-43,-362.2275104157578,"{0: 33, 1: 11, 2: 12, 3: 2, 4: 5}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,-100,-465.17456851342484,"{0: 80, 1: 12, 2: 18, 3: 4, 4: 6}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,-27,-200.15025563782658,"{0: 32, 1: 7, 2: 9, 3: 2, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,-35,-379.6236040722081,"{0: 25, 1: 9, 2: 13, 3: 4, 4: 4}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,-11,-279.49695270146793,"{0: 16, 1: 6, 2: 9, 3: 1, 4: 4}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,-100,-807.0665669653388,"{0: 67, 1: 24, 2: 24, 3: 3, 4: 12}",0
